event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715901,TRUE,33:43.0,179.609,-67.511,4.02E+08,,A,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715902,TRUE,52:51.0,179.544,-67.497,4.02E+08,48,0,least squares,4,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715903,TRUE,55:42.0,179.547,-67.499,4.02E+08,50,3,least squares,4,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715904,TRUE,10:19.0,179.808,-67.554,4.02E+08,8,B,least squares,2,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715905,TRUE,13:32.0,179.599,-67.591,4.02E+08,,B,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715906,TRUE,37:22.0,179.712,-67.598,4.02E+08,40,1,least squares,8,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715907,TRUE,42:07.0,179.678,-67.589,4.02E+08,,A,least squares,3,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715908,TRUE,21:56.0,179.681,-67.593,4.02E+08,8,A,least squares,3,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715909,TRUE,24:13.0,179.64,-67.61,4.02E+08,,A,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715910,TRUE,56:38.0,179.619,-67.597,4.02E+08,5,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715911,TRUE,56:38.0,179.612,-67.601,4.02E+08,5,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715912,TRUE,12:04.0,179.661,-67.555,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715913,TRUE,28:33.0,179.597,-67.591,4.02E+08,,A,least squares,3,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
